source_clip	result	motion_path	note
mn_cdkcn_00-2_ani__att_status1_12_01	created	Assets/KamenAsset/KamenAnimClip/v1/DuplicatedFromFbx/Status/mn_cdkcn_00-2_status1_12/mn_cdkcn_00-2_ani__att_status1_12_01.anim	candidates=1
mn_cdkcn_00-2_ani__att_status1_13_01	created	Assets/KamenAsset/KamenAnimClip/v1/DuplicatedFromFbx/Status/mn_cdkcn_00-2_status1_13/mn_cdkcn_00-2_ani__att_status1_13_01.anim	candidates=1
mn_cdkcn_00-2_ani__att_status1_13_02	created	Assets/KamenAsset/KamenAnimClip/v1/DuplicatedFromFbx/Status/mn_cdkcn_00-2_status1_13/mn_cdkcn_00-2_ani__att_status1_13_02.anim	candidates=1
mn_cdkcn_00-2_ani__att_status1_15_01	created	Assets/KamenAsset/KamenAnimClip/v1/DuplicatedFromFbx/Status/mn_cdkcn_00-2_status1_15/mn_cdkcn_00-2_ani__att_status1_15_01.anim	candidates=1
mn_cdkcn_00-2_ani__att_status1_15_02	created	Assets/KamenAsset/KamenAnimClip/v1/DuplicatedFromFbx/Status/mn_cdkcn_00-2_status1_15/mn_cdkcn_00-2_ani__att_status1_15_02.anim	candidates=1
mn_cdkcn_00-2_ani__att_status1_15_03	created	Assets/KamenAsset/KamenAnimClip/v1/DuplicatedFromFbx/Status/mn_cdkcn_00-2_status1_15/mn_cdkcn_00-2_ani__att_status1_15_03.anim	candidates=1
mn_cdkcn_00-2_ani__att_status1_15_04	created	Assets/KamenAsset/KamenAnimClip/v1/DuplicatedFromFbx/Status/mn_cdkcn_00-2_status1_15/mn_cdkcn_00-2_ani__att_status1_15_04.anim	candidates=1
mn_cdkcn_00-2_ani__att_status1_19_01	created	Assets/KamenAsset/KamenAnimClip/v1/DuplicatedFromFbx/Status/mn_cdkcn_00-2_status1_19/mn_cdkcn_00-2_ani__att_status1_19_01.anim	candidates=1
mn_cdkcn_00-2_ani__att_status1_25_01	created	Assets/KamenAsset/KamenAnimClip/v1/DuplicatedFromFbx/Status/mn_cdkcn_00-2_status1_25/mn_cdkcn_00-2_ani__att_status1_25_01.anim	candidates=1
mn_cdkcn_00-2_ani__att_status1_25_02	created	Assets/KamenAsset/KamenAnimClip/v1/DuplicatedFromFbx/Status/mn_cdkcn_00-2_status1_25/mn_cdkcn_00-2_ani__att_status1_25_02.anim	candidates=1
mn_cdkcn_00-2_ani__att_status1_25_03	created	Assets/KamenAsset/KamenAnimClip/v1/DuplicatedFromFbx/Status/mn_cdkcn_00-2_status1_25/mn_cdkcn_00-2_ani__att_status1_25_03.anim	candidates=1
mn_cdkcn_00-2_ani__att_status1_25_04	created	Assets/KamenAsset/KamenAnimClip/v1/DuplicatedFromFbx/Status/mn_cdkcn_00-2_status1_25/mn_cdkcn_00-2_ani__att_status1_25_04.anim	candidates=1
mn_cdkcn_00-2_ani__att_status1_46_01	created	Assets/KamenAsset/KamenAnimClip/v1/DuplicatedFromFbx/Status/mn_cdkcn_00-2_status1_46/mn_cdkcn_00-2_ani__att_status1_46_01.anim	candidates=1
mn_cdkcn_00-2_ani__att_status1_46_02	created	Assets/KamenAsset/KamenAnimClip/v1/DuplicatedFromFbx/Status/mn_cdkcn_00-2_status1_46/mn_cdkcn_00-2_ani__att_status1_46_02.anim	candidates=1
mn_cdkcn_00-2_ani__att_status1_46_03	created	Assets/KamenAsset/KamenAnimClip/v1/DuplicatedFromFbx/Status/mn_cdkcn_00-2_status1_46/mn_cdkcn_00-2_ani__att_status1_46_03.anim	candidates=1
mn_cdkcn_00-2_ani__att_status1_46_04	created	Assets/KamenAsset/KamenAnimClip/v1/DuplicatedFromFbx/Status/mn_cdkcn_00-2_status1_46/mn_cdkcn_00-2_ani__att_status1_46_04.anim	candidates=1
mn_cdkcn_00-2_ani__att_status1_46_05	created	Assets/KamenAsset/KamenAnimClip/v1/DuplicatedFromFbx/Status/mn_cdkcn_00-2_status1_46/mn_cdkcn_00-2_ani__att_status1_46_05.anim	candidates=1
mn_cdkcn_00-2_ani__att_status1_4_01	created	Assets/KamenAsset/KamenAnimClip/v1/DuplicatedFromFbx/Status/mn_cdkcn_00-2_status1_4/mn_cdkcn_00-2_ani__att_status1_4_01.anim	candidates=1
mn_cdkcn_00-2_ani__att_status1_4_02	created	Assets/KamenAsset/KamenAnimClip/v1/DuplicatedFromFbx/Status/mn_cdkcn_00-2_status1_4/mn_cdkcn_00-2_ani__att_status1_4_02.anim	candidates=1
mn_cdkcn_00-2_ani__att_status1_4_03	created	Assets/KamenAsset/KamenAnimClip/v1/DuplicatedFromFbx/Status/mn_cdkcn_00-2_status1_4/mn_cdkcn_00-2_ani__att_status1_4_03.anim	candidates=1
mn_cdkcn_00-2_ani__att_status1_4_04	created	Assets/KamenAsset/KamenAnimClip/v1/DuplicatedFromFbx/Status/mn_cdkcn_00-2_status1_4/mn_cdkcn_00-2_ani__att_status1_4_04.anim	candidates=1
mn_cdkcn_00-2_ani__att_status1_4_05	created	Assets/KamenAsset/KamenAnimClip/v1/DuplicatedFromFbx/Status/mn_cdkcn_00-2_status1_4/mn_cdkcn_00-2_ani__att_status1_4_05.anim	candidates=1
mn_cdkcn_00-2_ani__att_status1_4_06	created	Assets/KamenAsset/KamenAnimClip/v1/DuplicatedFromFbx/Status/mn_cdkcn_00-2_status1_4/mn_cdkcn_00-2_ani__att_status1_4_06.anim	candidates=1
mn_cdkcn_00-2_ani__att_status1_4_07	created	Assets/KamenAsset/KamenAnimClip/v1/DuplicatedFromFbx/Status/mn_cdkcn_00-2_status1_4/mn_cdkcn_00-2_ani__att_status1_4_07.anim	candidates=1
mn_cdkcn_00-2_ani__att_status1_4_08	created	Assets/KamenAsset/KamenAnimClip/v1/DuplicatedFromFbx/Status/mn_cdkcn_00-2_status1_4/mn_cdkcn_00-2_ani__att_status1_4_08.anim	candidates=1
mn_cdkcn_00-2_ani__att_status1_4_10	created	Assets/KamenAsset/KamenAnimClip/v1/DuplicatedFromFbx/Status/mn_cdkcn_00-2_status1_4/mn_cdkcn_00-2_ani__att_status1_4_10.anim	candidates=1
mn_cdkcn_00-2_ani__att_status1_4_11	created	Assets/KamenAsset/KamenAnimClip/v1/DuplicatedFromFbx/Status/mn_cdkcn_00-2_status1_4/mn_cdkcn_00-2_ani__att_status1_4_11.anim	candidates=1
mn_cdkcn_00-2_ani__att_status1_4_12	created	Assets/KamenAsset/KamenAnimClip/v1/DuplicatedFromFbx/Status/mn_cdkcn_00-2_status1_4/mn_cdkcn_00-2_ani__att_status1_4_12.anim	candidates=1
mn_cdkcn_00-2_ani__att_status1_4_13	created	Assets/KamenAsset/KamenAnimClip/v1/DuplicatedFromFbx/Status/mn_cdkcn_00-2_status1_4/mn_cdkcn_00-2_ani__att_status1_4_13.anim	candidates=1
mn_cdkcn_00-2_ani__att_status1_4_14	created	Assets/KamenAsset/KamenAnimClip/v1/DuplicatedFromFbx/Status/mn_cdkcn_00-2_status1_4/mn_cdkcn_00-2_ani__att_status1_4_14.anim	candidates=1
mn_cdkcn_00-2_ani__att_status1_5_01	created	Assets/KamenAsset/KamenAnimClip/v1/DuplicatedFromFbx/Status/mn_cdkcn_00-2_status1_5/mn_cdkcn_00-2_ani__att_status1_5_01.anim	candidates=1
mn_cdkcn_00-2_ani__att_status1_5_02	created	Assets/KamenAsset/KamenAnimClip/v1/DuplicatedFromFbx/Status/mn_cdkcn_00-2_status1_5/mn_cdkcn_00-2_ani__att_status1_5_02.anim	candidates=1
mn_cdkcn_00-2_ani__att_status1_5_03	created	Assets/KamenAsset/KamenAnimClip/v1/DuplicatedFromFbx/Status/mn_cdkcn_00-2_status1_5/mn_cdkcn_00-2_ani__att_status1_5_03.anim	candidates=1
mn_cdkcn_00-2_ani__att_status1_5_04	created	Assets/KamenAsset/KamenAnimClip/v1/DuplicatedFromFbx/Status/mn_cdkcn_00-2_status1_5/mn_cdkcn_00-2_ani__att_status1_5_04.anim	candidates=1
mn_cdkcn_00-2_ani__att_status1_5_05	created	Assets/KamenAsset/KamenAnimClip/v1/DuplicatedFromFbx/Status/mn_cdkcn_00-2_status1_5/mn_cdkcn_00-2_ani__att_status1_5_05.anim	candidates=1
mn_cdkcn_00-2_ani__att_status1_5_06	created	Assets/KamenAsset/KamenAnimClip/v1/DuplicatedFromFbx/Status/mn_cdkcn_00-2_status1_5/mn_cdkcn_00-2_ani__att_status1_5_06.anim	candidates=1
mn_cdkcn_00-2_ani__att_status1_5_07	created	Assets/KamenAsset/KamenAnimClip/v1/DuplicatedFromFbx/Status/mn_cdkcn_00-2_status1_5/mn_cdkcn_00-2_ani__att_status1_5_07.anim	candidates=1
mn_cdkcn_00-2_ani__att_status1_5_08	created	Assets/KamenAsset/KamenAnimClip/v1/DuplicatedFromFbx/Status/mn_cdkcn_00-2_status1_5/mn_cdkcn_00-2_ani__att_status1_5_08.anim	candidates=1
mn_cdkcn_00-2_ani__att_status1_5_09	created	Assets/KamenAsset/KamenAnimClip/v1/DuplicatedFromFbx/Status/mn_cdkcn_00-2_status1_5/mn_cdkcn_00-2_ani__att_status1_5_09.anim	candidates=1
mn_cdkcn_00-2_ani__att_status1_5_10	created	Assets/KamenAsset/KamenAnimClip/v1/DuplicatedFromFbx/Status/mn_cdkcn_00-2_status1_5/mn_cdkcn_00-2_ani__att_status1_5_10.anim	candidates=1
mn_cdkcn_00-2_ani__att_status1_8_01	created	Assets/KamenAsset/KamenAnimClip/v1/DuplicatedFromFbx/Status/mn_cdkcn_00-2_status1_8/mn_cdkcn_00-2_ani__att_status1_8_01.anim	candidates=1
