candidate	check	from	to	average_diff	sample_count	passes
mn_cdkcn_00_ani__att_status1_4_04_old	prev_last_to_candidate_first	mn_cdkcn_00_ani__att_status1_4_03	mn_cdkcn_00_ani__att_status1_4_04_old	2.248841	1085	FAIL
mn_cdkcn_00_ani__att_status1_4_04_old	candidate_last_to_current_first	mn_cdkcn_00_ani__att_status1_4_04_old	mn_cdkcn_00_ani__att_status1_4_04	0.529928	1085	FAIL
mn_cdkcn_00_ani__att_status1_4_04_old	candidate_last_to_next_first	mn_cdkcn_00_ani__att_status1_4_04_old	mn_cdkcn_00_ani__att_status1_4_05	0.148506	1085	FAIL
mn_cdkcn_00_ani__att_status1_4_04_old	prev_last_to_current_first	mn_cdkcn_00_ani__att_status1_4_03	mn_cdkcn_00_ani__att_status1_4_04	2.246222	1085	FAIL
mn_cdkcn_00_ani__att_status1_4_11_old	prev_last_to_candidate_first	mn_cdkcn_00_ani__att_status1_4_10	mn_cdkcn_00_ani__att_status1_4_11_old	1.298236	1085	FAIL
mn_cdkcn_00_ani__att_status1_4_11_old	candidate_last_to_current_first	mn_cdkcn_00_ani__att_status1_4_11_old	mn_cdkcn_00_ani__att_status1_4_11	0.098638	1085	FAIL
mn_cdkcn_00_ani__att_status1_4_11_old	candidate_last_to_next_first	mn_cdkcn_00_ani__att_status1_4_11_old	mn_cdkcn_00_ani__att_status1_4_12	0.018751	1085	PASS
mn_cdkcn_00_ani__att_status1_4_11_old	prev_last_to_current_first	mn_cdkcn_00_ani__att_status1_4_10	mn_cdkcn_00_ani__att_status1_4_11	1.236573	1085	FAIL
mn_cdkcn_00_ani__att_status1_5_09_old	prev_last_to_candidate_first	mn_cdkcn_00_ani__att_status1_5_08	mn_cdkcn_00_ani__att_status1_5_09_old	0.649271	1085	FAIL
mn_cdkcn_00_ani__att_status1_5_09_old	candidate_last_to_current_first	mn_cdkcn_00_ani__att_status1_5_09_old	mn_cdkcn_00_ani__att_status1_5_09	0.002661	1085	PASS
mn_cdkcn_00_ani__att_status1_5_09_old	candidate_last_to_next_first	mn_cdkcn_00_ani__att_status1_5_09_old	mn_cdkcn_00_ani__att_status1_5_10	0.169677	1085	FAIL
mn_cdkcn_00_ani__att_status1_5_09_old	prev_last_to_current_first	mn_cdkcn_00_ani__att_status1_5_08	mn_cdkcn_00_ani__att_status1_5_09	0.651876	1085	FAIL
mn_cdkcn_00_ani__att_status1_5_10_old	prev_last_to_candidate_first	mn_cdkcn_00_ani__att_status1_5_09	mn_cdkcn_00_ani__att_status1_5_10_old	0.154022	1085	FAIL
mn_cdkcn_00_ani__att_status1_5_10_old	candidate_last_to_current_first	mn_cdkcn_00_ani__att_status1_5_10_old	mn_cdkcn_00_ani__att_status1_5_10	0.013117	1085	PASS
mn_cdkcn_00_ani__att_status1_5_10_old	prev_last_to_current_first	mn_cdkcn_00_ani__att_status1_5_09	mn_cdkcn_00_ani__att_status1_5_10	0.167071	1085	FAIL
