group	from	to	candidate	same_group_hint	prev_last_to_candidate_first	candidate_last_to_next_first	sample_count_start	sample_count_end	original_average_diff
battle|mn_cdkcn_00_battle_10	mn_cdkcn_00_ani__att_battle_10_01	mn_cdkcn_00_ani__att_battle_10_02	mn_cdkcn_08_ani__att_battle_2_02	NO	0.359829	0.631705	35	35	0.070429
battle|mn_cdkcn_00_battle_11	mn_cdkcn_00_ani__att_battle_11_01	mn_cdkcn_00_ani__att_battle_11_02	mn_cdkcn_04_ani__att_battle_11_01	YES	4.421404	1.905870	448	448	0.053077
battle|mn_cdkcn_00_battle_11	mn_cdkcn_00_ani__att_battle_11_02	mn_cdkcn_00_ani__att_battle_11_03	mn_cdkcn_04_ani__att_battle_11_01	YES	4.425870	1.905868	448	448	0.052901
battle|mn_cdkcn_00_battle_14	mn_cdkcn_00_ani__att_battle_14_03	mn_cdkcn_00_ani__att_battle_14_04	mn_cdkcn_04_ani__att_battle_14_02	YES	1.746932	3.832062	448	448	0.138162
battle|mn_cdkcn_00_battle_8	mn_cdkcn_00_ani__att_battle_8_01	mn_cdkcn_00_ani__att_battle_8_02	mn_cdkcn_04_ani__att_battle_8_01	YES	1.565286	1.565287	448	448	0.069084
battle|mn_cdkcn_00_battle_8	mn_cdkcn_00_ani__att_battle_8_02	mn_cdkcn_00_ani__att_battle_8_03	mn_cdkcn_04_ani__att_battle_8_02	YES	1.748132	1.746239	448	448	0.05433
battle|mn_cdkcn_00_battle_8	mn_cdkcn_00_ani__att_battle_8_06	mn_cdkcn_00_ani__att_battle_8_07	mn_cdkcn_04_ani__att_battle_8_04	YES	1.790574	1.664313	448	448	0.052168
battle|mn_cdkcn_02_battle_1	mn_cdkcn_02_ani__att_battle_1_03	mn_cdkcn_02_ani__att_battle_1_04	mn_cdkcn_04_ani__att_battle_1_02	YES	2.446991	2.394303	448	448	0.065809
battle|mn_cdkcn_02_battle_1	mn_cdkcn_02_ani__att_battle_1_05	mn_cdkcn_02_ani__att_battle_1_06	mn_cdkcn_04_ani__att_battle_1_01	YES	2.342730	2.068082	448	448	0.055937
battle|mn_cdkcn_02_battle_1	mn_cdkcn_02_ani__att_battle_1_07	mn_cdkcn_02_ani__att_battle_1_08	mn_cdkcn_04_ani__att_battle_1_01	YES	1.960307	2.017151	448	448	0.065195
