package,gltf,obj,vertices,faces
BG_LIM_COMMON_A,BG_LIM_COMMON_A/StaticMesh3/bg_lim_common_book01_sm_alchemy.gltf,Models/BG_LIM_COMMON_A/bg_lim_common_book01_sm_alchemy.obj,1504,1923
BG_LIM_COMMON_A,BG_LIM_COMMON_A/StaticMesh3/bg_lim_common_book01a_sm_alchemy.gltf,Models/BG_LIM_COMMON_A/bg_lim_common_book01a_sm_alchemy.obj,951,1030
BG_LIM_COMMON_A,BG_LIM_COMMON_A/StaticMesh3/bg_lim_common_book02_sm_alchemy.gltf,Models/BG_LIM_COMMON_A/bg_lim_common_book02_sm_alchemy.obj,1315,1087
BG_LIM_COMMON_A,BG_LIM_COMMON_A/StaticMesh3/bg_lim_common_book02a_sm_alchemy.gltf,Models/BG_LIM_COMMON_A/bg_lim_common_book02a_sm_alchemy.obj,1457,1209
BG_LIM_COMMON_A,BG_LIM_COMMON_A/StaticMesh3/bg_lim_common_bottle01_sm_alchemy.gltf,Models/BG_LIM_COMMON_A/bg_lim_common_bottle01_sm_alchemy.obj,1845,2953
BG_LIM_COMMON_A,BG_LIM_COMMON_A/StaticMesh3/bg_lim_common_bottle01a_sm_alchemy.gltf,Models/BG_LIM_COMMON_A/bg_lim_common_bottle01a_sm_alchemy.obj,1928,3081
BG_LIM_COMMON_A,BG_LIM_COMMON_A/StaticMesh3/bg_lim_common_bottle02_sm.gltf,Models/BG_LIM_COMMON_A/bg_lim_common_bottle02_sm.obj,2484,2399
BG_LIM_COMMON_A,BG_LIM_COMMON_A/StaticMesh3/bg_lim_common_bottledish01_sm.gltf,Models/BG_LIM_COMMON_A/bg_lim_common_bottledish01_sm.obj,1342,1434
BG_LIM_COMMON_A,BG_LIM_COMMON_A/StaticMesh3/bg_lim_common_chair01_sm_alchemy.gltf,Models/BG_LIM_COMMON_A/bg_lim_common_chair01_sm_alchemy.obj,2223,2422
BG_LIM_COMMON_A,BG_LIM_COMMON_A/StaticMesh3/bg_lim_common_chair01a_sm_alchemy.gltf,Models/BG_LIM_COMMON_A/bg_lim_common_chair01a_sm_alchemy.obj,2341,2570
BG_LIM_COMMON_A,BG_LIM_COMMON_A/StaticMesh3/bg_lim_common_chair02_sm.gltf,Models/BG_LIM_COMMON_A/bg_lim_common_chair02_sm.obj,2399,2654
BG_LIM_COMMON_A,BG_LIM_COMMON_A/StaticMesh3/bg_lim_common_chair02a_sm.gltf,Models/BG_LIM_COMMON_A/bg_lim_common_chair02a_sm.obj,2180,2248
BG_LIM_COMMON_A,BG_LIM_COMMON_A/StaticMesh3/bg_lim_common_chair02b_sm.gltf,Models/BG_LIM_COMMON_A/bg_lim_common_chair02b_sm.obj,386,672
BG_LIM_COMMON_A,BG_LIM_COMMON_A/StaticMesh3/bg_lim_common_chandelier01_sm.gltf,Models/BG_LIM_COMMON_A/bg_lim_common_chandelier01_sm.obj,14666,18142
BG_LIM_COMMON_A,BG_LIM_COMMON_A/StaticMesh3/bg_lim_common_chandelier01a_sm.gltf,Models/BG_LIM_COMMON_A/bg_lim_common_chandelier01a_sm.obj,1576,1920
BG_LIM_COMMON_A,BG_LIM_COMMON_A/StaticMesh3/bg_lim_common_chandelier01b_sm.gltf,Models/BG_LIM_COMMON_A/bg_lim_common_chandelier01b_sm.obj,709,838
BG_LIM_COMMON_A,BG_LIM_COMMON_A/StaticMesh3/bg_lim_common_chandelier01c_sm.gltf,Models/BG_LIM_COMMON_A/bg_lim_common_chandelier01c_sm.obj,1023,1384
BG_LIM_COMMON_A,BG_LIM_COMMON_A/StaticMesh3/bg_lim_common_cup01_sm_alchemy.gltf,Models/BG_LIM_COMMON_A/bg_lim_common_cup01_sm_alchemy.obj,1294,2054
