modelAsset,package,renderer,slotIndex,sourceMaterial,resolvedMaterial,status
"Assets/KamenMap/Models/BG_RAD_KAMEN_A/bg_rad_kamen_chair01a_sm_jjh.obj","BG_RAD_KAMEN_A","default",0,"BG_RAD_KAMEN_A__bg_rad_kamen_chair01a_mi_jjh","BG_RAD_KAMEN_A__bg_rad_kamen_chair01a_mi_jjh","matched"
"Assets/KamenMap/Models/BG_RAD_KAMEN_A/bg_rad_kamen_chair01b_sm_cjy.obj","BG_RAD_KAMEN_A","default",0,"BG_RAD_KAMEN_A__bg_rad_kamen_chair01b_mi_cjy","BG_RAD_KAMEN_A__bg_rad_kamen_chair01b_mi_cjy","matched"
"Assets/KamenMap/Models/BG_RAD_KAMEN_A/bg_rad_kamen_chair01_sm_cjy.obj","BG_RAD_KAMEN_A","default",0,"BG_RAD_KAMEN_A__bg_rad_kamen_chair01_mi_jjh","BG_RAD_KAMEN_A__bg_rad_kamen_chair01_mi_jjh","matched"
"Assets/KamenMap/Models/BG_RAD_KAMEN_A/bg_rad_kamen_chair01_sm_cjy.obj","BG_RAD_KAMEN_A","default",1,"BG_RAD_KAMEN_A__bg_rad_kamen_pillar01_mi_cjy","BG_RAD_KAMEN_A__bg_rad_kamen_pillar01_mi_cjy","matched"
"Assets/KamenMap/Models/BG_RAD_KAMEN_A/bg_rad_kamen_chair01_sm_cjy.obj","BG_RAD_KAMEN_A","default",2,"BG_RAD_KAMEN_A__bg_rad_kamen_pillar06_mi_cjy","BG_RAD_KAMEN_A__bg_rad_kamen_pillar06_mi_cjy","matched"
"Assets/KamenMap/Models/BG_RAD_KAMEN_A/bg_rad_kamen_chair01_sm_cjy.obj","BG_RAD_KAMEN_A","default",3,"BG_RAD_KAMEN_A__bg_rad_kamen_chair01b_mi_cjy","BG_RAD_KAMEN_A__bg_rad_kamen_chair01b_mi_cjy","matched"
"Assets/KamenMap/Models/BG_RAD_KAMEN_A/bg_rad_kamen_floor01_sm.obj","BG_RAD_KAMEN_A","default",0,"BG_RAD_KAMEN_A__bg_rad_kamen_floor01_mi_kmk","BG_RAD_KAMEN_A__bg_rad_kamen_floor01_mi_kmk","matched"
"Assets/KamenMap/Models/BG_RAD_KAMEN_A/bg_rad_kamen_floor01_sm.obj","BG_RAD_KAMEN_A","default",1,"BG_RAD_KAMEN_A__bg_rad_kamen_floor01a_mi_kmk","BG_RAD_KAMEN_A__bg_rad_kamen_floor01a_mi_kmk","matched"
"Assets/KamenMap/Models/BG_RAD_KAMEN_A/bg_rad_kamen_floor02_sm.obj","BG_RAD_KAMEN_A","default",0,"BG_RAD_KAMEN_A__bg_rad_kamen_floor01_mi_kmk","BG_RAD_KAMEN_A__bg_rad_kamen_floor01_mi_kmk","matched"
"Assets/KamenMap/Models/BG_RAD_KAMEN_A/bg_rad_kamen_floor02_sm.obj","BG_RAD_KAMEN_A","default",1,"BG_RAD_KAMEN_A__bg_rad_kamen_floor01a_mi_kmk","BG_RAD_KAMEN_A__bg_rad_kamen_floor01a_mi_kmk","matched"
"Assets/KamenMap/Models/BG_RAD_KAMEN_A/bg_rad_kamen_floor02_sm.obj","BG_RAD_KAMEN_A","default",2,"BG_RAD_KAMEN_A__bg_rad_kamen_floor02_mi_kmk","BG_RAD_KAMEN_A__bg_rad_kamen_floor02_mi_kmk","matched"
"Assets/KamenMap/Models/BG_RAD_KAMEN_A/bg_rad_kamen_floor02_sm.obj","BG_RAD_KAMEN_A","default",3,"BG_RAD_KAMEN_A__bg_rad_kamen_floor02a_mi_kmk","BG_RAD_KAMEN_A__bg_rad_kamen_floor02a_mi_kmk","matched"
"Assets/KamenMap/Models/BG_RAD_KAMEN_A/bg_rad_kamen_floor03lowpoly_sm_jjy.obj","BG_RAD_KAMEN_A","default",0,"BG_RAD_KAMEN_A__bg_rad_kamen_floor03a_mi_jjy","BG_RAD_KAMEN_A__bg_rad_kamen_floor03a_mi_jjy","matched"
"Assets/KamenMap/Models/BG_RAD_KAMEN_A/bg_rad_kamen_floor03lowpoly_sm_jjy.obj","BG_RAD_KAMEN_A","default",1,"BG_RAD_KAMEN_A__bg_rad_kamen_floor03b_mi_jjy","BG_RAD_KAMEN_A__bg_rad_kamen_floor03b_mi_jjy","matched"
"Assets/KamenMap/Models/BG_RAD_KAMEN_A/bg_rad_kamen_floor03_sm.obj","BG_RAD_KAMEN_A","default",0,"BG_RAD_KAMEN_A__bg_rad_kamen_floor03a_mi_jjy","BG_RAD_KAMEN_A__bg_rad_kamen_floor03a_mi_jjy","matched"
"Assets/KamenMap/Models/BG_RAD_KAMEN_A/bg_rad_kamen_floor03_sm.obj","BG_RAD_KAMEN_A","default",1,"BG_RAD_KAMEN_A__bg_rad_kamen_floor03b_mi_jjy","BG_RAD_KAMEN_A__bg_rad_kamen_floor03b_mi_jjy","matched"
